title,date,question,doctor,answer,url
"미열, 열감, 심한 피로감",2021.10.03,"한 일주일 정도부터 집 체온계로 쟀을때 37도에서 37.5~37.8도 사이로 매번 미열로 뜨는 경우가 많아요
몸에 열감도 자주 있고 식은땀도 좀 나요.자고 일어나면 땀 때문에 축축하기도 해요, 좀 많이 피로해서 앉아있으면 졸음이 쏟아지기도하고 머리가 무거워지는 느낌도 나면서 일상생활에 피로함이 꽤 커요 근데 새벽에는 잠이 잘 안요ㅡㅠㅠ
코로나 검사는 자가진단키트로 했을때 음성으로 나오긴했어요 이걸 코로나검사를 해야하는걸까요 아니면 병원에 그냥 가서 진료를 받아도 되는걸까요?",홍인표 [전문의],"안녕하세요. 하이닥 가정의학과 상담의 홍인표입니다.
증상만으로는 코로나인지 알기 어렵고 자가진단 키트는 민감도 문제가 있어서 정식으로 확진검사를 받아보시는 것이 어떨까요?",https://www.hidoc.co.kr/healthqna/part/view/C0000639366
"패혈증 자가진단, 문진",2021.10.02,패혈증 문진시엔 어떤 답변을 보고 인지하시며 패혈증을 자가진단 하는 방법이 있나요?,홍인표 [전문의],"안녕하세요. 하이닥 가정의학과 상담의 홍인표입니다.
초기 증상으로는 호흡 수가 빨라지고, 지남력(시간, 장소, 사람에 대한 인지력)의 상실이나 정신 착란 등의 신경학적 장애가 나타날 수 있습니다. 혈압의 저하 및 신체 말단에 공급되는 혈액량의 저하로 인하여 피부가 시퍼렇게 보이기도 합니다. 초기증상이 나타나면 의심해볼 수 있습니다",https://www.hidoc.co.kr/healthqna/part/view/C0000639201
허벅지에 딱딱한 멍울같은게 잡혀요,2021.10.01,오른쪽 허벅지 안쪽에 검지손톱크기정도의 딱딱한 뭔가가 만져집니다. 누르면 살짝 아프구요. 가만히있으면 통증은 없습니다. 2틀전에 화이자2차백신을 맞았는데 오늘 우연히 허벅지를 만지다가 발견했습니다. 분명 이전에는 없었던 증상이구요. 그래서 피부과에가서 초음파검사를 해보니 멍울처럼만져지는부위에 딱히 초음파상으로 혹이나 종양이 보이지는 않았습니다. 의사님께서 근육에 염증 혹은 림프절이 부은것으로 보인다생각되어 항생제주사를 맞고 집에왔습니다. 그런데 와서도 계속 아픈게 느껴지니까 혼자 얼음찜질을 하다가 왜이런걸까 여기계신의사분들의 의견을듣고 싶어 이렇게 질문드립니다.,송슬기 [전문의],"안녕하세요. 하이닥 외과 상담의 송슬기입니다.
초음파 사진이나 판독 소견서 , 의사 소견서나 염증 수치 검사 결과지 같은 거를 제시 하셨으면 정확한 답변을 드리기 어려울 듯 합니다.",https://www.hidoc.co.kr/healthqna/part/view/C0000638964
에이즈 포비아에 시달리고 있습니다.,2021.10.02,2주전 태국 여성과 콘돔 미착용 체내 사정을 했습니다. 또한 피어싱이 덜 아문 부분에 태국여성의 침이 묻었구요. 현재까지 발열은 없지만 어제 오늘 설사를 했고 며칠전에 한 3일동안 서혜부 임파선에 콩알같은게 잡혔습니다. 또한 지금은 계속 긴장되는 기분이고 머리에서 심장 뛰는게 좀 느껴지고 조금 어지럽구요. hiv에 감염이 되었을려나요? 또한 2주 오라퀵 신뢰도는 얼마나 되나요? 오늘 해볼 생각인데..,이영진 [전문의],"안녕하세요. 하이닥 비뇨의학과 상담의 이영진입니다.

2주전 태국 여성과 콘돔 미착용 체내 사정을 했군요.

에이즈 감염이 흔하게 발생하지 않습니다.

너무 크게 걱정하지 마시고 병원에서 다양한 증상에 대한 치료와 검사를 받도록 하십시요.",https://www.hidoc.co.kr/healthqna/part/view/C0000639008
에이즈 포비아에 시달리고 있습니다.,2021.10.02,2주전 태국 여성과 콘돔 미착용 체내 사정을 했습니다. 또한 피어싱이 덜 아문 부분에 태국여성의 침이 묻었구요. 현재까지 발열은 없지만 어제 오늘 설사를 했고 며칠전에 한 3일동안 서혜부 임파선에 콩알같은게 잡혔습니다. 또한 지금은 계속 긴장되는 기분이고 머리에서 심장 뛰는게 좀 느껴지고 조금 어지럽구요. hiv에 감염이 되었을려나요? 또한 2주 오라퀵 신뢰도는 얼마나 되나요? 오늘 해볼 생각인데..,이영진 [전문의],"안녕하세요. 하이닥 비뇨의학과 상담의 이영진입니다.

2주전 태국 여성과 콘돔 미착용 체내 사정을 했군요.

에이즈 감염이 흔하게 발생하지 않습니다.

너무 크게 걱정하지 마시고 병원에서 다양한 증상에 대한 치료와 검사를 받도록 하십시요.",https://www.hidoc.co.kr/healthqna/part/view/C0000639008
네일샵 상처로 감염 가능한가요?,2021.10.01,"네일샵에 방문했다가 다른 사람들의 손톱가루가 있는 네일화일로 살에 상처가 났습니다. 이후 소독을 진행하긴 했으나 소독 직후 직원이 손으로 문질러 소독이 완벽하게 이루어지지 않았습니다.
또한 큐티클 제거 과정에서도 니퍼에 의해 피가 났습니다.

귀가 후 비누로 씻고 소독 후 연고를 발랐는데 이 경우 어떤 감염병의 위험이 있는지, 어떤 검사를 진행해야하는지 궁금합니다.",송슬기 [전문의],"안녕하세요. 하이닥 외과 상담의 송슬기입니다.
여러 사람에 의한 원인 불명의 감염원에 대해서 종합적으로 검사를 하고 싶으시다면 감염내과에서 검사 받는 것이 좋습니다.",https://www.hidoc.co.kr/healthqna/part/view/C0000638897
고엽제 후유증이 다른사람에게 전염될수도있나요?,2021.09.30,"너무 추상적인 질문일수도있지만

아는분이 보훈병원에서 일하며 환자들과 접촉하고있는대요.

최근 스트레스를 워낙 많이받는지 팔다리가 미세하게 떨리고

저리고 하다더라구요.

고엽제 후유증 가진 사람들과 계속 접촉을 하면 말초신경병 등과 같이 고엽후유증 병들도 전염이 될수있나요?

고엽제환자와 2세들은 유전적으로 후유증이 있을수있다고는 들었습니다",홍인표 [전문의],"안녕하세요. 하이닥 가정의학과 상담의 홍인표입니다.
유전과 전염은 서로 개념이 좀 차이가 있습니다. 고엽제 후유증을 앓는 환자와 접촉한다고 해서 전염이 되거나 하지는 않을 것으로 생각됩니다",https://www.hidoc.co.kr/healthqna/part/view/C0000638573
에이즈 오라퀵 음성,2021.09.30,10주차 음성 15주차 음성이면 음성 확진인가요?,이영진 [전문의],"안녕하세요. 하이닥 비뇨의학과 상담의 이영진입니다.

10주차 음성이고 15주차 에이즈 오라퀵 음성이면 음성 확진으로 생각하셔도 됩니다.

편한 마음 가지도록 하십시요.",https://www.hidoc.co.kr/healthqna/part/view/C0000638608
에이즈 오라퀵 검사 관련 질문입니다,2021.09.29,"제가 11주 2일차(72일) 그리고 15주 3일차(102일)에 오라퀵 구강점막 검사 키트로 음성이 나왔습니다
그런데 위음성의 여지 때문에 불안했습니다
검사 일주일전 복용했던약이 과민성 대장증후군때문에 유가인정40미리그램 그리고 메디락 디에스 그리고 의심 관계일로부터 9주쯤부터 매주 수요일에 말라리아 약을 먹었는데 이게 위음성의 요인이 될수 있나요??",이영진 [전문의],"안녕하세요. 하이닥 비뇨의학과 상담의 이영진입니다.

11주 2일차(72일) 그리고 15주 3일차(102일)에 오라퀵 구강점막 검사 키트로 음성이 나왔군요.

질문하신 약이 위음성의 요인이 되지는 않습니다. 걱정하지 마십시요.",https://www.hidoc.co.kr/healthqna/part/view/C0000638191
비가오면 열이 나는 이유가 궁금합니다.,2021.09.29,"어릴때부터 비만 오면 몸에서 열이 납니다.

눈에 띄게 열이 오르는 것 외의 다른 증상은
딱히 없지만 굳이 말하자면 축쳐지고 잠이 많아진다는 것 밖에 없네요
왜 비만 오면 몸에서 열이 나는지 궁금합니다.",송슬기 [전문의],"안녕하세요. 하이닥 외과 상담의 송슬기입니다.
체온의 상승이나 고열 소견이 나는지 객관적으로 측정한 데이터를 올려주시는 것이 좋을 듯 합니다. 내분비 계통 검사를 받아보세요",https://www.hidoc.co.kr/healthqna/part/view/C0000638108
