title,date,question,doctor,answer,url
키 크는데에 우유,2019.12.30,제가 중2인데 우유 먹으면 키가 자라나요?,홍인표 [전문의],"안녕하세요. 하이닥 가정의학과 상담의 홍인표입니다.

우유에는 칼슘과 성장인자들이 들어있어서 키 성장에 도움이 됩니다.
비타민디를 추가로 보충하고 운동하고 일찍 잠자리에 드는 것이 좋아요.",https://www.hidoc.co.kr/healthqna/part/view/C0000489465
오늘 성관계를 했습니다,2019.12.29,오늘 남자친구와 첫 관계를 가졌는데 콘돔도 차고 그리고 질외사정 했다고 그랬습니다 . 근데 제가 생리 끝난지 일주일 정도 밖에 안 되었는데 임신 가능성이 크나요 ??,윤장호 [전문의],"안녕하세요. 하이닥 비뇨의학과 상담의 윤장호입니다.

오늘 성관계를 했다는 질문이시네요.
콘돔도 착용하고 질 외 사정을 했다면 임신 가능성은 극히 낮습니다.
너무 걱정하지 마시고 일단 배란 예정일을 계산하는 법을 알려드리겠습니다.
생리 주기가 28일이라고 가정하면 첫 생리시작일로부터 14일째가 배란 예정일입니다.
그리고 임신 가능일은 배란 예정일 전후 3~4일입니다.
위에서 말씀하셨듯이 생리 끝나고 일주일 이후라면
생리가 일주일 정도 있었다면 배란 예정일에 관계를 하셨을 가능성이 높으며
일단 임신 가능 기간에 관계를 했다고 볼 수 있겠네요.
답변이 도움이 되었길 바랍니다.",https://www.hidoc.co.kr/healthqna/part/view/C0000489322
재질문 폐쪽 아픈 느낌,2019.12.30,그럼 폐쪽이 아픈 느낌이 들어도 폐문제가 아니고 그주위에 다른게 문제인거죠??,류재열 [전문의],"안녕하세요. 하이닥 가정의학과 상담의 류재열입니다.

폐 쪽으로 통증이 있더라도 폐 문제보다는 위,식도, 심장, 근골격계, 피부 문제일 가능성이 높습니다.
정확한 원인을 알고 싶으시면 병원에 내원하셔서 진료받아보시는걸 권해드립니다.
감사합니다.",https://www.hidoc.co.kr/healthqna/part/view/C0000489400
15세남성 자위생활,2019.12.28,"15살남자인데요 한9월쯤부터 음란물에접해 그다음자위를 하였는데요
요즘 성욕이 넘쳐서.... 일주일에3~5번하는거같아요 오늘도2회를 오전오후나눠서했구요 그래서질문합니다!
1.음란물을 보면서 자위를 해도되나요?
2.하루에 자위를2번이상해도되나요?
3.일주일에 자위는 몇번정도하는것이좋나요?",배범철 [전문의],"안녕하세요. 하이닥 비뇨의학과 상담의 배범철입니다.

음란물을 보면서 자위를 하는건 본인의 자유의지이며 보통 한번 정액을 배출하면 2-3일이지나야 보충이 되니 조금 억제하는게 좋겠군요.
성숙한 어른이 되기위해서는 다른 일이나 독서 운동 등으로 대체해주면 더 좋겠지요?",https://www.hidoc.co.kr/healthqna/part/view/C0000489269
첫 경험 후 피,2019.12.29,오늘 첫 성관계 맺었던 사람인데요 .. 소변을 보는데 피가 막 나오고 그것도 엄청 많이 나와요 . 생리도 끝났는데 왜 이러는걸까요,홍인표 [전문의],"안녕하세요. 하이닥 가정의학과 상담의 홍인표입니다.

많이 놀래셨죠?
성관계 후에 방광염이 잘 생길 수 있습니다.
검사하고 치료하면 잘 좋아질테니 너무 걱정하지 마세요.",https://www.hidoc.co.kr/healthqna/part/view/C0000489334
자위생활,2019.12.28,"15살남자입니다. 9월달부터 성인물을 접하고나서 자위를 시작했는데요 요즘은 자위가 많이하고싶어집니다... 그래서 질문남깁니다
1.자위행위는 일주일에 몇번정도하는것이좋나요?
2.음란물을 보며 자위를 해도되나요?
3.하루에자위를 2번이상해도되나요?
.",윤장호 [전문의],"안녕하세요. 하이닥 비뇨의학과 상담의 윤장호입니다.

자위 생활(?)에 대한 질문이시네요.
한창 성에 관심이 있을 나이이네요.
질문하신 내용 3가지에 대해서 정상이라는 것은 없습니다.
하지만 하나 명심해야 할 것은 다음과 같네요.

자위 행위는 단순히 쾌락을 위해서 하는 것이 아닙니다.
나중에 실제 성관계에 도움이 될 수 있도록 미리 연습(?)을 하는 것입니다.
따라서 비현실적인 자극인 음란물이나 너무 과하거나 빈번한 자위 행위는 오히려 실제 성관계시 독이 될 수 있으니 잘 생각하시기 바래요.
답변이 도움이 되었길 바랍니다.",https://www.hidoc.co.kr/healthqna/part/view/C0000489274
오늘 성관계를 했습니다,2019.12.29,오늘 남자친구와 첫 관계를 가졌는데 콘돔도 차고 그리고 질외사정 했다고 그랬습니다 . 근데 제가 생리 끝난지 일주일 정도 밖에 안 되었는데 임신 가능성이 크나요 ??,윤장호 [전문의],"안녕하세요. 하이닥 비뇨의학과 상담의 윤장호입니다.

오늘 성관계를 했다는 질문이시네요.
콘돔도 착용하고 질 외 사정을 했다면 임신 가능성은 극히 낮습니다.
너무 걱정하지 마시고 일단 배란 예정일을 계산하는 법을 알려드리겠습니다.
생리 주기가 28일이라고 가정하면 첫 생리시작일로부터 14일째가 배란 예정일입니다.
그리고 임신 가능일은 배란 예정일 전후 3~4일입니다.
위에서 말씀하셨듯이 생리 끝나고 일주일 이후라면
생리가 일주일 정도 있었다면 배란 예정일에 관계를 하셨을 가능성이 높으며
일단 임신 가능 기간에 관계를 했다고 볼 수 있겠네요.
답변이 도움이 되었길 바랍니다.",https://www.hidoc.co.kr/healthqna/part/view/C0000489322
속이 니글니글,2019.12.28,어제 속이 계속 니글니글 거려서 토와 설사를 하고 오늘은 계속 속이 이상하고 오줌색도 홍차색깔이 나오고 헛구역질이 계속 나는데 질환인가요?,홍인표 [전문의],"안녕하세요. 하이닥 가정의학과 상담의 홍인표입니다.

간기능이 나빠지는 소견으로 보입니다.
젊은 분이시면 A형간염이 가장 의심됩니다.
빨리 진료 받아보시는 것이 좋을 것 같군요.
빨리 회복되시길 바랍니다.",https://www.hidoc.co.kr/healthqna/part/view/C0000489228
A형독감 걸렸었는데,2019.12.29,"A형독감 걸렸었는데요..

독감 판정 받았을때 당일에는 좀 많이 아프다 했고

다음날 아침엔 진짜 이러다 죽는거 아닌가 할정도로 아팠다가

죽 꾸역꾸역 먹고 애니플루랑 감기약 같은거 먹고

있다 보니까 목소리 갈라지는것도 덜해지고

열,두통,근육통은 거의 없어졌습니다..

완치 된 느낌이다 싶어 슬슬 투약을 중단해볼까 하는데

(작은 부작용이 있어서요)

독감이 원래 하루만에 완치될수가 있는병인가요?

아니면 나중에 갑자기 또 아플수도 있는건가요?",홍인표 [전문의],"안녕하세요. 하이닥 가정의학과 상담의 홍인표입니다.

독감바이러스를 치료하는 약을 복용 중이시라면  5일간 투여가 권장 됩니다.
드시고 있지 않다면 잠시 중단해 보셔도 될 것 같아요.
어떤 부작용이 있나요?",https://www.hidoc.co.kr/healthqna/part/view/C0000489293
당뇨환자 식욕억제제 먹어도되나요?,2019.12.26,당뇨약 먹은지 2주되었구요 식욕억제가 안되고 자꾸 입맛이 좋아서 미치겠어요 당뇨약과 같이 먹을수잇는 식욕억제제가 없을까요? 벨빅이란 약이 당뇨에 도움이 될수도있다던데 당뇨약 잠깐끊고 벨빅만 먹어도되나요?...,류재열 [전문의],"안녕하세요. 하이닥 가정의학과 상담의 류재열입니다.

식욕억제제를 통해 식사량을 줄일 경우 혈당을 낮추는데 도움이 됩니다.
하지만, 당뇨약을 끊고 식욕억제제만 복용하는 건 권하지 않습니다.
같이 복용하실 경우 주기적으로 병원에 내원하셔서
혈당 및 체중을 측정하여 혈당 수치에 따라서 약물 종류 및 용량을 조절하시는 것이 좋습니다.
감사합니다.",https://www.hidoc.co.kr/healthqna/part/view/C0000488954
