title,date,question,doctor,answer,url
아나필락시스,2021.10.01,"저녁을 먹고 감기약을 복용후 전신에 두드러기가 올라왔습니다. 그 다음날 아침, 점심 약까지 먹은 후 (두드러기의 원인이 감기약일것이라고는 생각치 못해서 그냥 먹었습니다.) 호흡곤란까지 와서 병원에 갔더니 아나필락시스 진단을 받았어요.
병원에서 아마 해열진통제가 원인일 것이라고 타이레놀이나 진통제를 먹지 말라고 했습니다.
근데 저는 한번도 알레르기가 난적이 없어서 갑자기 생겼다는게 믿기지 않아 감기약을 샀던 약국에 가서 똑같은 약을 사서 한번 복용해봤습니다. 아무렇지도 않았습니다. 2번적도 다른 해열진통제로도 해봤는데 정말 아무 이상이 없었어요.
이런 경우에도 아나필락시스라고 할 수 있을까요??",송슬기 [전문의],"안녕하세요. 하이닥 외과 상담의 송슬기입니다.
아나필락시스 증상은 아닐 것으로 사료됩니다. 약제 반응성 알러지가 있으신 것으로 보이니 MAST DRUG 알러지 테스트를 추천 드립니다.",https://www.hidoc.co.kr/healthqna/part/view/C0000638981
향수가 혀에닿았어요 어떡하죠?,2021.10.01,제가 오늘 향수만들기를했는데 그과정에서 손에살짝묻어서 손을 씻고 종이에향수가 살짝 묻어있었는데 살짝손에 묻은것같은데 그손이 혀에닿아서 바로 침을 뱉었고 그이후에도 수차례 치을뱉고 물을 마셨는데 토는하지않았습니다 괜찮은가요?,송슬기 [전문의],"안녕하세요. 하이닥 외과 상담의 송슬기입니다.
네 괜찮지 않을 것으로 사료됩니다. 리스테린 가글이나 일반 가글로 자주 가글하시고 혹시라도 중독 증상이나 소화기 증상있으면 응급의학과로 오세요",https://www.hidoc.co.kr/healthqna/part/view/C0000638834
향수가 혀에닿았어요 어떡하죠?,2021.10.01,제가 오늘 향수만들기를했는데 그과정에서 손에살짝묻어서 손을 씻고 종이에향수가 살짝 묻어있었는데 살짝손에 묻은것같은데 그손이 혀에닿아서 바로 침을 뱉었고 그이후에도 수차례 치을뱉고 물을 마셨는데 토는하지않았습니다 괜찮은가요?,송슬기 [전문의],"안녕하세요. 하이닥 외과 상담의 송슬기입니다.
네 괜찮지 않을 것으로 사료됩니다. 리스테린 가글이나 일반 가글로 자주 가글하시고 혹시라도 중독 증상이나 소화기 증상있으면 응급의학과로 오세요",https://www.hidoc.co.kr/healthqna/part/view/C0000638834
질문드려요,2021.09.29,선생님 혓바닥에 노란설태가 보여요 목이 좀간질간질하고 입이 마르구요 피로가 쌓인느낌이구요 그럴때있나요? 5개월전 소변검사 혈액검사 이상없었고 저번달에 공복혈당 정상이고 5개월전 당수치도 5.5였구요 위장내시경도 3개월전에했을때 약간 식도염 표재성 위염만 있었구요 요즘 단음식을 좀 많이먹기는했습니다,신광식 [전문의],"안녕하세요. 하이닥 내과 상담의 신광식입니다.

백태는 전반적인 면역력 감소가 있습니다. 최근 피로하지 않으신지 문의 드리며 구강내 세균 번식 또한 문제의 한 원인일 수 있습니다. 단 음식은 구강내 세균번식을 잘 일으키는 것으로 탄산음료 등도 피하셔야 합니다.
야간에 입을 벌리고 자지는 않는지 확인해보시는 편이 좋고 최근 계절이 바뀌면서 건조해지면서 입으로 숨쉬는 분들에게서 구강 병변이 많이 생기고 있어 자주 물을 섭취하시는 편이 좋습니다.

감사합니다.",https://www.hidoc.co.kr/healthqna/part/view/C0000638013
손소독제를 소량 먹었는데 괜찮을까요?,2021.09.28,"겔타입 손소독제를 바르고 다 마르기 전에 과자를 집어먹어서 손소독제를 아주 소량 먹은 것 같은데
알고보니 손소독제를 먹으면 몸에 엄청 안 좋다고 해서 너무 걱정이 돼요
이렇게 소량 먹은 것도 건강에 이상이 생길 수 있나요?
병원 가봐야 할까요? ㅠㅠ",송슬기 [전문의],"안녕하세요. 하이닥 외과 상담의 송슬기입니다.
손소독제를 소량 섭취했다면 리스테린 가글이나 일반 가글을 이용하여 자주 깊숙히 목이나 입안을 헹구시고 소화기 증상이 발생하는지 관찰하세요",https://www.hidoc.co.kr/healthqna/part/view/C0000637877
질문드려요,2021.09.29,선생님 혓바닥에 노란설태가 보여요 목이 좀간질간질하고 입이 마르구요 피로가 쌓인느낌이구요 그럴때있나요? 5개월전 소변검사 혈액검사 이상없었고 저번달에 공복혈당 정상이고 5개월전 당수치도 5.5였구요 위장내시경도 3개월전에했을때 약간 식도염 표재성 위염만 있었구요 요즘 단음식을 좀 많이먹기는했습니다,신광식 [전문의],"안녕하세요. 하이닥 내과 상담의 신광식입니다.

백태는 전반적인 면역력 감소가 있습니다. 최근 피로하지 않으신지 문의 드리며 구강내 세균 번식 또한 문제의 한 원인일 수 있습니다. 단 음식은 구강내 세균번식을 잘 일으키는 것으로 탄산음료 등도 피하셔야 합니다.
야간에 입을 벌리고 자지는 않는지 확인해보시는 편이 좋고 최근 계절이 바뀌면서 건조해지면서 입으로 숨쉬는 분들에게서 구강 병변이 많이 생기고 있어 자주 물을 섭취하시는 편이 좋습니다.

감사합니다.",https://www.hidoc.co.kr/healthqna/part/view/C0000638013
아플라톡신 곰팡이,2021.09.29,"하늘보리를 먹다가 좀 오래놔뒀는데 뚜껑은 닫아놨구요. 실수로 먹었는데요 부유물이 좀 있어서요. 아플라톡신 곰팡이일 가능성이 있나요? 그리고 먹으면 얼마나 지나거 어떤 반응이 오나요? 반응이 오지 않으면 괜찮나요? 검체는 수거하지 못했어요,,,",송슬기 [전문의],"안녕하세요. 하이닥 외과 상담의 송슬기입니다.
아쉽습니다. 검체를 수거하지 못했다면 확인은 힘들 것으로 보입니다. 안타깝지만 검체에서 곰팡이 균을 검출을 못하니 없다고 생각하세요",https://www.hidoc.co.kr/healthqna/part/view/C0000637962
아플라톡신 곰팡이,2021.09.29,제가 실수로 오래놔둔 옥수수 수염차를 먹었는데요. 안에 부유물 같은게 있어서 검색해보니까 아플라톡신이라는 곰팡이를 알게 됐어요. 혹시 옥수수 수염차에도 아플라톡신이 있을 수 있나요? 또 1급 발암물질이라고 하던데 먹으면 바로 암에 걸리는 건가요? 마지막으로 대처 방안이 있을까요?,송슬기 [전문의],"안녕하세요. 하이닥 외과 상담의 송슬기입니다.
검체를 잘 수거 하셔서 가까운 내과 병원에 검체 의뢰하시면 쉽게 알 수 가 있습니다. 올려주신 3장의 소견으로는 알 수 가 없습니다.",https://www.hidoc.co.kr/healthqna/part/view/C0000637907
알러지성 기침이 원래 잘 안낫고 오래가나요?,2021.09.26,요즘은 운동해서 많이 나아졌는데 증상이 아예 없어지진 않네요. 증상은 단순히 목 간지러운거하고 이거 때문에 목고르는거밖에 없습니다. 기침도 했었는데 운동해서 많이 나아졌네요. 이비인후과약도 3달 먹고 최근 호흡기알레르기내과약도 1주 먹다가 부작용도 있고 효과가 없는 것 같아서 그냥 끊었습니다. 어떻게 약을 3달 이상이나 먹었는데 안낫는걸까요? 알러지성 기침이 원래 이렇게 안낫고 오래가나요 언제쯤 완치될수있을까요 ㅠㅠ,손원진 [한의사],"안녕하세요. 하이닥 한방과 상담의 손원진입니다.

알러지란 의미가 민감하게 반응한다는 의미를 갖고 있습니다.
목, 인후두부위가 민감해져서 온도변화, 먼지, 음식 여러가지 자극에 이물감, 간지러운 느낌을 받고,
기침을 반사적으로 하는 증상입니다.

기관지가 약해진것으로 이해하며..

한의약재 중에.. 맥문동이라는 약재, 반하라는 약재가 이런 증상의 완화와 치료에 많이 선택됩니다.
반하는 목구멍의 간지러운 증상, 이물감을 치료하는 전문한약재이며, 맥문동은 기관지를 건강하고, 윤기나게 도와주는 대표약재입니다. 이런 약재들을 중심으로 환자의 기타 증상과 체질을 고려하여 처방합니다.

한의원이.. 워낙 오래된 증상으로 오시는 분들이 많다 보니..
진료실에서.. 환절기 알러지기침을 하신지가 1년 -10년, (최장 30년 되신분들도 )도 많이 보게 됩니다.

치료기간은 오래 걸린다고 보셔야 합니다.
한의원 치료는 환자를 건강하게 하는 쪽에 초점이 맞춰져 있습니다.

참고하길 바랍니다.",https://www.hidoc.co.kr/healthqna/part/view/C0000636845
알러지성 기침이 원래 잘 안낫고 오래가나요?,2021.09.26,요즘은 운동해서 많이 나아졌는데 증상이 아예 없어지진 않네요. 증상은 단순히 목 간지러운거하고 이거 때문에 목고르는거밖에 없습니다. 기침도 했었는데 운동해서 많이 나아졌네요. 이비인후과약도 3달 먹고 최근 호흡기알레르기내과약도 1주 먹다가 부작용도 있고 효과가 없는 것 같아서 그냥 끊었습니다. 어떻게 약을 3달 이상이나 먹었는데 안낫는걸까요? 알러지성 기침이 원래 이렇게 안낫고 오래가나요 언제쯤 완치될수있을까요 ㅠㅠ,손원진 [한의사],"안녕하세요. 하이닥 한방과 상담의 손원진입니다.

알러지란 의미가 민감하게 반응한다는 의미를 갖고 있습니다.
목, 인후두부위가 민감해져서 온도변화, 먼지, 음식 여러가지 자극에 이물감, 간지러운 느낌을 받고,
기침을 반사적으로 하는 증상입니다.

기관지가 약해진것으로 이해하며..

한의약재 중에.. 맥문동이라는 약재, 반하라는 약재가 이런 증상의 완화와 치료에 많이 선택됩니다.
반하는 목구멍의 간지러운 증상, 이물감을 치료하는 전문한약재이며, 맥문동은 기관지를 건강하고, 윤기나게 도와주는 대표약재입니다. 이런 약재들을 중심으로 환자의 기타 증상과 체질을 고려하여 처방합니다.

한의원이.. 워낙 오래된 증상으로 오시는 분들이 많다 보니..
진료실에서.. 환절기 알러지기침을 하신지가 1년 -10년, (최장 30년 되신분들도 )도 많이 보게 됩니다.

치료기간은 오래 걸린다고 보셔야 합니다.
한의원 치료는 환자를 건강하게 하는 쪽에 초점이 맞춰져 있습니다.

참고하길 바랍니다.",https://www.hidoc.co.kr/healthqna/part/view/C0000636845
