title,date,question,doctor,answer,url
몬테루칸스정10 mg 유아섭취 문의,2020.01.01,"6세는 싱귤레어4mg 처방받은 상태인데 ,실수로 성인이 처방받은 몬테루칸스정 10mg을 6세 아이가 섭취했어요. 문제는 없는지 용량초과인데 내일 저녁엔 싱귤레어를 먹지 말아야할지 문의드려요.",홍인표 [전문의],"안녕하세요. 하이닥 가정의학과 상담의 홍인표입니다.

반감기는 5시간정도 된다고 하니 내일은 먹이지 마시고 그냥 지켜보세요. 큰 문제는 없을 겁니다. 잘 놀고있지요? 잘 먹고?",https://www.hidoc.co.kr/healthqna/part/view/C0000489715
요즘 저는 수시로 어지럽고 기절할거같은 느낌이 종종 듭니다.,2020.01.01,"저는 어디가 아픈걸까요... 요즘 저는 수시로 어지럽고 기절할거같은 느낌이 종종 듭니다.
숨쉬면 등이 아프고 한숨을 쉬지 않으면 가슴이 답답하고 편안하게 호흡이 잘되지 않아 자꾸 숨을 크게 몰아쉽니다.
그리고 음식을 삼키다가 음식이 잘삼켜지지않아 켁켁거리고 삼키지도 뱉아지지도 않는 상태가되어 질식의 위험을 느끼는데요..(물이랑 마시면 잘 넘어갑니다)
이 모든 증상이 연관이 있는건지조차 모르겠지만
어떤 진료과로 가야하나요..괴롭습니다..",홍인표 [전문의],"안녕하세요. 하이닥 가정의학과 상담의 홍인표입니다.

많이 힘드시겠네요.
기본적인 내과적 검사에서 이상이 없으면 심리적인 문제를 고려해보아야 합니다.
혹시 스트레스 많으신가요? 잠은 잘 주무시나요?
술 담배는 안하시죠?
지병이 있어 약드시는 것이 있나요?",https://www.hidoc.co.kr/healthqna/part/view/C0000489680
이명,2019.12.30,"안하세요 제가 이명있는 상태로 지낸지 일년정도가 되어갑니다 소리가 커지거나 그런건아닌데 평상시엔 안들리는데 잘때 옆으로 누워서 귀을 베개에 붙이면 맥박뛰는듯한 느낌이 있어요 두근 두근 이런식으로요
박동성이명은 보통 쉭쉭이런소리가 난다던데 이건 두근듀근같은 느낌? 소리? 그런거라 이것도 이명인지 아니면 제가 귀를 너무 배게랑 밀착시켜서 그냥 들리는건지 궁금합니다",김진용 [전문의],"안녕하세요. 하이닥 이비인후과 상담의 김진용입니다.

이명의 일종이나 심각하지 않은 것 같습니다.
두근두근하는 느낌은 심박동성이 올라간다던지 아주 고요한 상태에서 베개에 귀를 밀착한 진공 상태에서 누구나 들을 수 있는 소리이므로 무시하고 살면 됩니다.",https://www.hidoc.co.kr/healthqna/part/view/C0000489480
전해질부족과 갑상선 질환 관련...,2019.12.28,"작년6월에 일시적 갑상선저하가 왔다가 정상수치여서 약복용은 안하고 있습니다.그동안 간간이 검사해도 정상수치는 유지됐는데 올봄에 무력감이 있어 부신피질 검사를 했는데 약먹기에는 수치가 좀 높고 정상보다는 약간 밑이라고 일단 지켜보자고 했습니다.그동안 음주를 많이 했은데 12/25아침에 몸이 춥고 목에 이물감같은게 느껴지며 기침을 하기 시작햇습니다.감기로 생각되어 약먹고 그다음날 좀무리하게 출근하여 일했는데 저녁에 열이나서 웅급실 갔는데 38.4까지 올라 피검사등 을 했습니다.피검사 결과 전해질수치가 정상인보다 낮다고 하면서 장기간 식사를 제대로 안했냐고 묻더군요.탈수 증상도 있고 신장도 조금 낮다고 하시네요. ..
감기증상인지 몰겠지만 지금 목소리 잠김,추위느끼는 현상,갑자기 시력이 떨어진듯한 느낌.체력이 딸리는듯한 다리 근육통.눈주변 떨림.어지러움.속이 약간 매스꺼움 등이 나타나고 있는데 전해질 부족과 갑상선기능 저하가 서로 연관이 있나요??갑상선기능 저하가 오면 전해딜 부족이 오나요??아님 전해질 부족으로 갑상선 기능저하가 오나요??아닌 두질환은 서로 상관없나요??
작년에 아픈기억이 있어 걱정됩니다",김태균 [전문의],"안녕하세요. 하이닥 가정의학과 상담의 김태균입니다.

지금 말씀하신 증상들은 사실 감기증상과 유사해보입니다.
말씀하신 두 질환들의 상관관계는 명확하게 말씀드리기 어렵습니다.
컨디션이 좋아지시고 나서도 말씀하신 증상들이 계속되신다면 다시 한번 진료를 받아보시기를 추천드립니다.
감사합니다.",https://www.hidoc.co.kr/healthqna/part/view/C0000489251
성병 질문,2019.12.30,"질에서 악취,생선냄새가 나고 노란 하얀 뭉친 분비물이 나와요 또 음부에 여드름 같은 종기가 나는데 피지가 아니라 고름이나 피만 나와서 임질을 의심하고있어요.
어제부터 생리예정일인데 생리는안나오고 오늘 노랗고 하얀 불투명 냉대하가 나오기 시작했어요

구강성교후 입안 목구멍에 작은 돌기들이 났는데 병명과 치료방법을 알수있을까요? 목이 약간 부은느낌이고 아프거나 간지럽지는않아요. 냄새는 더 생선냄새같이 역해졌구요 무슨 증상인가요?

질쪽에 트리코모나스나 임질을 의심하고 있어서 목에도 같은 병이 아닐까 의심하는중입니다 답변 진심으로 감사합니다",신승령 [전문의],"안녕하세요. 하이닥 산부인과 상담의 신승령입니다.

세균성질염, 임질, 트리코모나스 등 모두 가능성이 있습니다. 면역력 저하도 의심되며 빨리 산부인과에 방문하셔서 적절한 검사가 필요한 상황입니다. 진찰 상황에 따라 이비인후과 진료도 시급해 보입니다. 빨리 병원에 방문하시길 바랍니다.
검사합니다.",https://www.hidoc.co.kr/healthqna/part/view/C0000489382
자고 일어나면 목이 칼칼하고 불편합니다,2019.12.27,"자고 일어나면 목이 마치 목감기 초기처럼 칼칼하고 불편합니다

코골이는 하긴하지만 몇시간에 한두번씩 하는수준이구요

입벌리고 자는것같지는 않습니다

역류성식도염일까요?

아침에 일어났을때가 가장 불편하고 오후쯤되면 점점 괜찮아지긴하는데 그래도

불편감이 있습니다",정규화 [전문의],"안녕하세요. 하이닥 이비인후과 상담의 정규화입니다.

비염인 경우 인후 점막이 붓고 건조해지며 불편할 수 있습니다.
코골이 증상이 있는 경우 비염을 확인 해 보셔야 합니다 .
역류성 식도염인 경우도 추정 할 수 있습니다.
일상 생활의 개선이 필요하고 충분한 수분 섭취와 운동 요법이 도움이 됩니다.
비만에 대한 관리도 필요합니다. 과체중인 경우 비강 구강 점막 인후 점막의 부종으로 상기 증상이 초래 될 수 있습니다. 감사합니다.",https://www.hidoc.co.kr/healthqna/part/view/C0000489122
"두통 및 어지러움, 몸떨림",2019.12.25,"안녕하세요!

약 한달전쯤 가만히 앉아있는 도중 몸이 떨리며 머리가 핑 돈적이 있습니다. 평소에 두통약 한번 먹어본적 없고 이런 경험이 처음이라 그냥 넘어갔는데 그 날 이후로 두통이 계속 되고 심장맥박과는 다른 느낌으로 몸에서 쿵쿵박동이 빠르게 느껴지고 머리 속이 흔들려 마치 제 몸이 흔들리는 것 같은 느낌도 받았습니다.

병원에 가서 약을 처방받고 먹어도 별로 효과가 느껴지지 않고 최근 대학병원 MRI까지 찍은 상태인데 결과가 나오려면 아직 이주정도가 남았습니다. 최근엔 길을 가다가 핑 돌며 무게중심이 흐트러진적도 있고 지금까지도 머리 압력과 조이는 느낌, 팔저림 등그러다 보니 일상생활에 있어 어딜 가게되면 혹시나 이러다 어지럽진 않을지 걱정되고 불안감이 매우 큰 상태입니다. 의식하고 있다보니 더 몸 박동이 심해지는것같구요 ㅠㅠㅠ
또렷한 원인과 해결방법을 모르겠어서 너무 답답합니다. 평소에 두통한번없던사람인데 이렇게 지속되다보니 뭘 하거나 어딜 가기가 무섭네요 ㅜㅜ 이러한 증상과 관련하여 답변받을 수 있는게 있을까요??",손원진 [한의사],"안녕하세요. 하이닥 한방과 상담의 손원진입니다.

두통의 원인은 매우 다양합니다.
mri 검사 결과도 기다려 보시구요. (그러나 너무 걱정은 하시지 않으시길 바랍니다.)
머리 압력과 조이는 느낌 팔저림 같은 증상이 같이 동반 된다면.. 뒷목, 등 근육의 뭉침으로 인한 연관 증상일 가능성도 있어 보입니다. 평상시 고개를 많이 숙이거나, 컴퓨터등의 작업을 많이 하신 경우에도 이런 증상이 생길 수도 있습니다. 이런 상태에서 몸이 잘 붓거나, 소확 잘 안되거나 하는 사람의 경우 어지럼증이 같이 동반될 수도 있습니다.

증상만 들어서는 모호한 편이나,
1. 편한 마음으로 mri 결과를 기다리시고
2. 뒷목 근육을 풀어주는 한의원 치료도 증상의 경감을 위해 받아보셔도 좋을 듯 합니다.
더욱 건강하세요.",https://www.hidoc.co.kr/healthqna/part/view/C0000488907
"재질문, 편도 사진입니다.",2019.12.30,"편도결석은 아니고
삼출액이고, 약 복용 하면 저 삼출액이 사라지네요..

문제는.반복되서 걱정이에요..",홍인표 [전문의],"안녕하세요. 하이닥 가정의학과 상담의 홍인표입니다.

죄송합니다. 저도 잘 모르겠습니다.
일반적으로 목이 아플 때는 목을 관찰 하지만 목아픈 것이 좋아지고 나면 목 진찰을 잘 하지 않거나 큰 관심을 가지지 않는 경우가 대분입니다.",https://www.hidoc.co.kr/healthqna/part/view/C0000489458
목젖에 상처가 생겼습니다,2019.12.30,"제목대로입니다
최근 독감에걸려서 열이심하고 기침이심해서
병원에서 주사한방맞고 괞찮아졌는데
목은 계속아프길래 거울로 보니까 상처가
아있더라고여

1. 근처에 내과있는데 거기서 진로받아도 되나요?

2. 심각한건가요?

3. 금방낳을까요?",홍인표 [전문의],"안녕하세요. 하이닥 가정의학과 상담의 홍인표입니다.

많이 힘드셨겠네요. 금년에 독감접종은 하셨죠?
1. 내과에서 진료 받으셔도 됩니다.
2. 심각할 것 같지는 않아요.
3. 금방 좋아지실 겁니다. 푹쉬셔요. 잘 드시고요.",https://www.hidoc.co.kr/healthqna/part/view/C0000489487
최근 운동 중 극심한 피로와 어지러움. 가슴답답함,2019.12.30,"34살 남성입니다 지난 10달부터 운동을 하면 운동중에 피로가 몰려오고 어지럽고. 가끔가다가 호흡곤란이 옵니다. 과거 2017년 11월쯤에 가습답답함이 몰려와 가까운 의원급 병원에서 1년가까이 약물치료로 받다가 작년 2018년 11월에 근처 종합병원에서 심장초음파,심전도,24시간 홀터검사,위내시경, 흉부엑스레이,혈액검사를 받았지만 아무 이상 없었고 올해 2019년도에만 심전도 검사를 추가적으로 두 번 더 받았습니다.아무 이상없고 그냥 과도한 스트레스로 인한 증상이라고 하면서 신경안정제를 몇개월간 먹었고 약을 서서히 줄여서 끊었지만 최근들어서 증상들이 점점 심해지는거 같은데 추가적으로 받을 검사가 있을까요?",홍인표 [전문의],"안녕하세요. 하이닥 가정의학과 상담의 홍인표입니다.

약을 줄이면서 증상이 나빠지는 것은 약을 줄일 만큼 호전되지 않은 상태에서 약을 줄인 것이 아닌가 싶네요.
다시 약을 조금 늘려야 하지 않을까 싶구요.
스트레스 많으신가요? 불안하거나 우울하거나 하시나요? 잠은 잘 주무시나요?",https://www.hidoc.co.kr/healthqna/part/view/C0000489470
