title,date,question,doctor,answer,url
자고 일어나면 목이 칼칼하고 불편합니다,2019.12.27,"자고 일어나면 목이 마치 목감기 초기처럼 칼칼하고 불편합니다

코골이는 하긴하지만 몇시간에 한두번씩 하는수준이구요

입벌리고 자는것같지는 않습니다

역류성식도염일까요?

아침에 일어났을때가 가장 불편하고 오후쯤되면 점점 괜찮아지긴하는데 그래도

불편감이 있습니다",정규화 [전문의],"안녕하세요. 하이닥 이비인후과 상담의 정규화입니다.

비염인 경우 인후 점막이 붓고 건조해지며 불편할 수 있습니다.
코골이 증상이 있는 경우 비염을 확인 해 보셔야 합니다 .
역류성 식도염인 경우도 추정 할 수 있습니다.
일상 생활의 개선이 필요하고 충분한 수분 섭취와 운동 요법이 도움이 됩니다.
비만에 대한 관리도 필요합니다. 과체중인 경우 비강 구강 점막 인후 점막의 부종으로 상기 증상이 초래 될 수 있습니다. 감사합니다.",https://www.hidoc.co.kr/healthqna/part/view/C0000489122
목젖에 상처가 생겼습니다,2019.12.30,"제목대로입니다
최근 독감에걸려서 열이심하고 기침이심해서
병원에서 주사한방맞고 괞찮아졌는데
목은 계속아프길래 거울로 보니까 상처가
아있더라고여

1. 근처에 내과있는데 거기서 진로받아도 되나요?

2. 심각한건가요?

3. 금방낳을까요?",홍인표 [전문의],"안녕하세요. 하이닥 가정의학과 상담의 홍인표입니다.

많이 힘드셨겠네요. 금년에 독감접종은 하셨죠?
1. 내과에서 진료 받으셔도 됩니다.
2. 심각할 것 같지는 않아요.
3. 금방 좋아지실 겁니다. 푹쉬셔요. 잘 드시고요.",https://www.hidoc.co.kr/healthqna/part/view/C0000489487
최근 운동 중 극심한 피로와 어지러움. 가슴답답함,2019.12.30,"34살 남성입니다 지난 10달부터 운동을 하면 운동중에 피로가 몰려오고 어지럽고. 가끔가다가 호흡곤란이 옵니다. 과거 2017년 11월쯤에 가습답답함이 몰려와 가까운 의원급 병원에서 1년가까이 약물치료로 받다가 작년 2018년 11월에 근처 종합병원에서 심장초음파,심전도,24시간 홀터검사,위내시경, 흉부엑스레이,혈액검사를 받았지만 아무 이상 없었고 올해 2019년도에만 심전도 검사를 추가적으로 두 번 더 받았습니다.아무 이상없고 그냥 과도한 스트레스로 인한 증상이라고 하면서 신경안정제를 몇개월간 먹었고 약을 서서히 줄여서 끊었지만 최근들어서 증상들이 점점 심해지는거 같은데 추가적으로 받을 검사가 있을까요?",홍인표 [전문의],"안녕하세요. 하이닥 가정의학과 상담의 홍인표입니다.

약을 줄이면서 증상이 나빠지는 것은 약을 줄일 만큼 호전되지 않은 상태에서 약을 줄인 것이 아닌가 싶네요.
다시 약을 조금 늘려야 하지 않을까 싶구요.
스트레스 많으신가요? 불안하거나 우울하거나 하시나요? 잠은 잘 주무시나요?",https://www.hidoc.co.kr/healthqna/part/view/C0000489470
방사선과 항암을 위해 몸 영양보충을 어떻게 하면 될까요,2019.12.27,"폐선암3기로 수술은 하였고 전이된 임파선 60회
머리뼈부분30회를 방사선과 항암치료를 해야 된다는데 사람마다 다 틀린다고 합니다만
먹는것도 많은 양을 먹지못하고 몸도약하여 이겨낼수 있을지가 염려가 되는 부분입니다
방사선과 항암치료하기전 먹는 음식과 몸관리를 어떻게 하면 좋을지 도움말씀 부탁드립니다",김소연 [약사],"안녕하세요. 하이닥 상담약사 김소연입니다.
머리뼈부분 방사선치료이면 뇌전이가 되었음을 전달 받으셨을 것으로 보입니다. 항암치료는 쉽지 않은 과정이므로 걱정이 많으실 것 같습니다. 항암치료 전 어떠한 준비를 하시더라도 치료 후 개인간 겪는 이상반응과 통증여부가 다양하여 치료진행 중 관리에 힘쓰시는 것이 더 중요할 것으로 보입니다. 필요한 사항 몇가지 기재해 드리면,
1. 세균감염에 주의- 조리도구 위생, 식품유통기간 확인, 날음식 주의
2. 위장에 부담없는 음식- 항암치료의 가장 흔한 부작용은 구토입니다. 메스꺼움 증상완하와 체력유지를 위해 자극적이지 않은 음식을 드시는 것이 좋습니다.
3. 충분한 숙면-항암치료 전후 면역증강을 위해 충분한 숙면에 도움이 되는 음식과 가벼운 운동 및 식습관이 중요합니다.",https://www.hidoc.co.kr/healthqna/part/view/C0000489170
담배 핀후 폐쪽이 아주 가끔 아픈느낌이 드는데,2019.12.27,담배를 3개월정도 피웠는데요 폐쪽이 아주 가끔 아픈느낌이 드는데 괜찬을까요? 숨쉴때는 괜찬습니다,류재열 [전문의],"안녕하세요. 하이닥 가정의학과 상담의 류재열입니다.

폐쪽에 문제가 있다고 해서 통증이 느껴지는 경우는 드뭅니다.
폐 문제인 경우에는 통증보다는 기침,가래,객혈이 나타나는 경우가 많습니다
폐 보다는 위, 식도, 심장, 근골격계의 문제일 가능성이 높으며 흡연 시작 후 증상이 있다면 안 피는 것이 좋습니다.
감사합니다.",https://www.hidoc.co.kr/healthqna/part/view/C0000489168
아이 가슴답답 과호흡증상,2019.12.28,"초3아이이구요
키 140 몸무게 33킬로정도 여자아이입니다
한달전부터 가슴이 답답하다그러구
최근엔 과호흡이 심해졌네요ㅠ
혹시 어떤검사를 해봐야되나요
심장초음파 심전도했구요 삼천판폐쇄부전이 약간있으나 이것땜에 답답하지는 않다했구요 심전도정상 엑스레이도 심장초음파하러갈때 찍었는데 공기차있거나 그러진않다하구요
오늘 복부초음파랑 피검사했어요

혹시 아이 과호흡의 원인으로 어떤것이 있으며
혹시 더 필요한 검사가있을까요ㅠ
아 청진소리도 괜찮대요",홍인표 [전문의],"안녕하세요. 하이닥 가정의학과 상담의 홍인표입니다.

무슨 스트레스 같은것이 없을까요?
검사에서 이상이없다면 심리적인 이유가 없는지 살펴봐야 합니다.
가족간의 문제, 친구사이의 문제, 학교생활 등등....",https://www.hidoc.co.kr/healthqna/part/view/C0000489253
하품을하면 시원하지않고. 자주끊켜요..,2019.12.26,3일전부터 하품을하면 하품이 시원하게안되고 중간에끊키더라고여... 그래서병원가니까 심전도.폐에는 이상없다는데.. 혹시 뇌에이상이있던지 다른곳에이상이있는지 걱정되네요.. 괜히이거생각하니까 스트레스받고 어질한느낌이들고있어오 .,주재형 [전문의],"안녕하세요. 하이닥 신경과 상담의 주재형입니다.

질문하신 증상은 질병의 증상으로 보이지는 않습니다. 뇌질환으로 인해 발생하는 증상의 가능성은 희박하므로 좀 더 경과를 지켜 보셔도 될 듯 합니다.",https://www.hidoc.co.kr/healthqna/part/view/C0000489007
팔.다리.몸이 따끔.찌릿하고 화끈거려요,2019.12.25,"어제밤부터 팔.다리.몸.가슴쪽이 갑자기 따끔.찌릿하고 팔쪽이 화끈하네요 안그랬었는데..신경과가서 진찰받야야할까요?
(11.12월달에는 두근거림 흉통증상으로 큰병원에서 심장검사 심전도.엑스레이.24시 심전도검사.심장초음파 조영제투여후 몸CT 머리MRI 검사했는데 이상없다네요ㅠㅠ)",김태형 [전문의],"안녕하세요. 하이닥 신경과 상담의 김태형입니다.

특별한 외상이나 피부병변없이 따끔거림, 찌릿한 감각, 화끈거리는 증상이 있다면 감각신경의 이상으로 발생하는 증상일 가능성이 높아 이런 증상이 있을 경우 신경과에서 진료를 받는 것이 맞습니다.
하지만 갑자기 발생한 점, 특정 부위의 증상이 아닌 전신(?)의 이상감각증상은 대부분 검사를 해도 특이 소견이 발견되지 않고 원인 질환을 알아내지 못하는 경우가 많습니다.
증상이 지속되는 경우 해당 증세를 조절하는 약제를 복용하면서 어느 정도 경과관찰을 하면 호전되는 경우가 많습니다.
혼자서 고민하지 마시고 가까운 신경과 전문의를 방문하여 상담받아보시는 것을 권유 드립니다.

답변이 도움이 되었기를 바랍니다. 감사합니다.",https://www.hidoc.co.kr/healthqna/part/view/C0000488910
걸으면 막 왼쪽으로 쏠리는 느낌을 받아서 걸음이 살짝 휘청거리고..뭐가 문제일까요??,2019.12.19,"몸이 붕떠있다가 왼쪽 가슴이랑 등쪽이 통증이 있다가 오른쪽 허벅지뒷쪽이 움찔거리다 왼쪽 무릎쪽 움찔거리다 왼쪽 등이 움찔거리다 코뒷쪽이 땡기고 그러다보니 목도 아프고 음식삼킬때도 갑자기 숨이 막히는 느낌 들다가 괜찮다가 오른쪽 등쪽에
가래끄는 느낌들다가 막 오른손이 떨리다가 오른발이 떨리다가
숨이 막 턱턱 막히는 느낌 들다가 가슴이 답답하다가 가슴에서 위로 막 그 열이 올라오는 느낌이 오다가말아버려서 답답하고
그리고서 일어나면 현기증이 날때가 있고 어지러운것도 있고
귀도 멍하고 코도 막혔다 안막혔다 걸으면 막 왼쪽으로 쏠리는 느낌을 받아서 걸음이 살짝 휘청거리고 다리에도 힘이 좀 없고
수액을 2번맞고 약도 먹고 잇는데 이증상은 안없어지네여;;
불안장애도 있는데..정신약은 지금 중단했어요 병원에서도 불안장애라고 하시고 피검사이상 없고 심장 이상없고 속아파서
위장약도 먹고 있어요",박종원 [전문의],"안녕하세요. 하이닥 신경과 상담의 박종원입니다.

불안장애가 있으면서 몸 전체의 자율신경이 과흥분되어있는 상태로 보입니다.
자율신경 중 교감신경이 과흥분 되면 미세혈액순환 부전으로 질문자님의 모든 증상이 설명됩니다.
또한, 자율신경의 과흥분으로 불안증상이 좀 더 심하게 느껴질 수 있습니다.
약에 의한 치료보다는 주사치료, 도수치료 등의 효과가 클 것으로 생각됩니다.",https://www.hidoc.co.kr/healthqna/part/view/C0000488312
폐결절,2019.12.26,어머니가 63세이십니다. 올해 건강검진에서 폐결절 4.2cm가 발견되었고 검진때 엑스레이사진으로 서울대병원에서 폐암가능성이 높다합니다. 의사분이 다시 엑스레이 찍고 보자고 하셔서 이틀전에 엑스레이 재촬영하고 다음주 화요일에 결과들으러갑니다. 어머니가 류마티스관절염이 있으신데 병원약을 최근1년동안 잘안드셨거든요 혹시 이 결절이 단순염증일수도 있는 걸까요?,윤장호 [전문의],"안녕하세요. 하이닥 비뇨의학과 상담의 윤장호입니다.

폐결절에 대한 질문이시네요.
63세 여성에게서 특별한 증상없이 4.2cm 의 결절이 보이는 경우는 흔치 않습니다.
엑스레이 사진을 다시 찍으실 것이 아니라 즉시 흉부 CT를 찍으시고 치료 방향을 정하시는 것이 좋겠습니다.
4.2cm 라면 폐암이라고 하더라도 빨리 치료 받으시면 완치 확률이 있습니다.
답변이 도움이 되었길 바랍니다.",https://www.hidoc.co.kr/healthqna/part/view/C0000488962
